name,status,source,delay,valid_days,viol_days,viol_frac,viol_maxpos,viol_long,viol_short,viol_total,max_streak,viol_head252,viol_tail762,clean_suffix_days,first_viol_date,last_viol_date
AlphaFguo20260303GA176,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA177,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA178,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA179,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA180,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA181,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA182,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA183,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA185,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA186,active,feature,1,2667,0,0.0,0,0,0,0,0,0,0,2667,,
AlphaFguo20260303GA187,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA188,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA189,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA190,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA192,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA193,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA194,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA197,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA198,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA199,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA200,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA201,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
