top_dir,sub_dir,field
aindexeodprices,,s_dq_change_399006
aindexeodprices,,s_dq_close_000001
aindexeodprices,,s_dq_close_000016
aindexeodprices,,s_dq_close_000300
aindexeodprices,,s_dq_close_000852
aindexeodprices,,s_dq_close_000905
aindexeodprices,,s_dq_close_000906
aindexeodprices,,s_dq_close_399001
aindexeodprices,,s_dq_close_399005
aindexeodprices,,s_dq_close_399006
aindexeodprices,,s_dq_high_000001
aindexeodprices,,s_dq_high_000016
aindexeodprices,,s_dq_high_000300
aindexeodprices,,s_dq_high_000852
aindexeodprices,,s_dq_high_000905
aindexeodprices,,s_dq_high_000906
aindexeodprices,,s_dq_high_399001
aindexeodprices,,s_dq_high_399005
aindexeodprices,,s_dq_high_399006
aindexeodprices,,s_dq_low_000001
aindexeodprices,,s_dq_low_000016
aindexeodprices,,s_dq_low_000300
aindexeodprices,,s_dq_low_000852
aindexeodprices,,s_dq_low_000905
aindexeodprices,,s_dq_low_000906
aindexeodprices,,s_dq_low_399001
aindexeodprices,,s_dq_low_399005
aindexeodprices,,s_dq_low_399006
aindexeodprices,,s_dq_open_000001
aindexeodprices,,s_dq_open_000016
aindexeodprices,,s_dq_open_000300
aindexeodprices,,s_dq_open_000852
aindexeodprices,,s_dq_open_000905
aindexeodprices,,s_dq_open_000906
aindexeodprices,,s_dq_open_399001
aindexeodprices,,s_dq_open_399005
aindexeodprices,,s_dq_open_399006
aindexeodprices,,s_dq_pctchange_000001
aindexeodprices,,s_dq_pctchange_000016
aindexeodprices,,s_dq_pctchange_000300
aindexeodprices,,s_dq_pctchange_000852
aindexeodprices,,s_dq_pctchange_000905
aindexeodprices,,s_dq_pctchange_000906
aindexeodprices,,s_dq_pctchange_399001
aindexeodprices,,s_dq_pctchange_399005
aindexeodprices,,s_dq_pctchange_399006
aindexeodprices,,s_dq_preclose_000001
aindexeodprices,,s_dq_preclose_000016
aindexeodprices,,s_dq_preclose_000300
aindexeodprices,,s_dq_preclose_000852
aindexeodprices,,s_dq_preclose_000905
aindexeodprices,,s_dq_preclose_000906
aindexeodprices,,s_dq_preclose_399001
aindexeodprices,,s_dq_preclose_399005
aindexeodprices,,s_dq_preclose_399006
aindexeodprices,,s_dq_volume_000001
aindexeodprices,,s_dq_volume_000016
aindexeodprices,,s_dq_volume_000300
aindexeodprices,,s_dq_volume_000852
aindexeodprices,,s_dq_volume_000905
aindexeodprices,,s_dq_volume_000906
aindexeodprices,,s_dq_volume_399001
aindexeodprices,,s_dq_volume_399005
aindexeodprices,,s_dq_volume_399006
asharebalancesheet,,acc_exp
asharebalancesheet,,accounts_payable
asharebalancesheet,,accounts_receivable
asharebalancesheet,,accounts_receivable_bill
asharebalancesheet,,acct_payable
asharebalancesheet,,acct_rcv
asharebalancesheet,,acting_trading_sec
asharebalancesheet,,acting_uw_sec
asharebalancesheet,,actual_ann_dt
asharebalancesheet,,adv_from_cust
asharebalancesheet,,agency_bus_assets
asharebalancesheet,,agency_bus_liab
asharebalancesheet,,asset_dep_oth_banks_fin_inst
asharebalancesheet,,bonds_payable
asharebalancesheet,,borrow_central_bank
asharebalancesheet,,cap_mrgn_paid
asharebalancesheet,,cap_rsrv
asharebalancesheet,,cap_stk
asharebalancesheet,,cash_deposits_central_bank
asharebalancesheet,,claims_payable
asharebalancesheet,,clients_cap_deposit
asharebalancesheet,,clients_rsrv_settle
asharebalancesheet,,cnvd_diff_foreign_curr_stat
asharebalancesheet,,comp_type_code
asharebalancesheet,,const_in_prog
asharebalancesheet,,const_in_prog_tot
asharebalancesheet,,consumptive_bio_assets
asharebalancesheet,,contract_liabilities
asharebalancesheet,,contractual_assets
asharebalancesheet,,cust_bank_dep
asharebalancesheet,,debt_investment
asharebalancesheet,,deferred_exp
asharebalancesheet,,deferred_inc
asharebalancesheet,,deferred_inc_non_cur_liab
asharebalancesheet,,deferred_tax_assets
asharebalancesheet,,deferred_tax_liab
asharebalancesheet,,deposit_received
asharebalancesheet,,deposit_received_ib_deposits
asharebalancesheet,,derivative_fin_assets
asharebalancesheet,,derivative_fin_liab
asharebalancesheet,,dvd_payable
asharebalancesheet,,dvd_payable_insured
asharebalancesheet,,dvd_rcv
asharebalancesheet,,empl_ben_payable
asharebalancesheet,,fin_assets_avail_for_sale
asharebalancesheet,,fin_assets_cost_sharing
asharebalancesheet,,fin_assets_fair_value
asharebalancesheet,,fix_assets
asharebalancesheet,,fix_assets_disp
asharebalancesheet,,fund_sales_fin_assets_rp
asharebalancesheet,,goodwill
asharebalancesheet,,handling_charges_comm_payable
asharebalancesheet,,held_to_mty_invest
asharebalancesheet,,hfs_assets
asharebalancesheet,,hfs_sales
asharebalancesheet,,incl_pledge_loan
asharebalancesheet,,incl_seat_fees_exchange
asharebalancesheet,,independent_acct_assets
asharebalancesheet,,independent_acct_liab
asharebalancesheet,,insured_deposit_invest
asharebalancesheet,,insured_pledge_loan
asharebalancesheet,,int_payable
asharebalancesheet,,int_rcv
asharebalancesheet,,intang_assets
asharebalancesheet,,inventories
asharebalancesheet,,invest_real_estate
asharebalancesheet,,lease_liab
asharebalancesheet,,lending_funds
asharebalancesheet,,less_tsy_stk
asharebalancesheet,,liab_dep_oth_banks_fin_inst
asharebalancesheet,,life_insur_rsrv
asharebalancesheet,,loans_and_adv_granted
asharebalancesheet,,loans_oth_banks
asharebalancesheet,,loans_to_oth_banks
asharebalancesheet,,long_term_deferred_exp
asharebalancesheet,,long_term_eqy_invest
asharebalancesheet,,long_term_rec
asharebalancesheet,,lt_borrow
asharebalancesheet,,lt_health_insur_v
asharebalancesheet,,lt_payable
asharebalancesheet,,lt_payable_tot
asharebalancesheet,,lt_payroll_payable
asharebalancesheet,,minority_int
asharebalancesheet,,monetary_cap
asharebalancesheet,,mrgn_paid
asharebalancesheet,,non_cur_assets_due_within_1y
asharebalancesheet,,non_cur_liab_due_within_1y
asharebalancesheet,,notes_payable
asharebalancesheet,,notes_rcv
asharebalancesheet,,oil_and_natural_gas_assets
asharebalancesheet,,oth_assets
asharebalancesheet,,oth_cur_assets
asharebalancesheet,,oth_cur_liab
asharebalancesheet,,oth_liab
asharebalancesheet,,oth_non_cur_assets
asharebalancesheet,,oth_non_cur_liab
asharebalancesheet,,oth_payable
asharebalancesheet,,oth_payable_tot
asharebalancesheet,,oth_rcv
asharebalancesheet,,oth_rcv_tot
asharebalancesheet,,other_comp_income
asharebalancesheet,,other_debt_investment
asharebalancesheet,,other_equity_investment
asharebalancesheet,,other_equity_tools
asharebalancesheet,,other_equity_tools_p_shr
asharebalancesheet,,other_illiquidfinancial_assets
asharebalancesheet,,other_sustainable_bond
asharebalancesheet,,out_loss_rsrv
asharebalancesheet,,payable_to_reinsurer
asharebalancesheet,,payables
asharebalancesheet,,precious_metals
asharebalancesheet,,prem_rcv
asharebalancesheet,,prem_received_adv
asharebalancesheet,,prepay
asharebalancesheet,,productive_bio_assets
asharebalancesheet,,proj_matl
asharebalancesheet,,prov_nom_risks
asharebalancesheet,,provisions
asharebalancesheet,,r_and_d_costs
asharebalancesheet,,rcv_ceded_claim_rsrv
asharebalancesheet,,rcv_ceded_life_insur_rsrv
asharebalancesheet,,rcv_ceded_lt_health_insur_rsrv
asharebalancesheet,,rcv_ceded_unearned_prem_rsrv
asharebalancesheet,,rcv_from_ceded_insur_cont_rsrv
asharebalancesheet,,rcv_from_reinsurer
asharebalancesheet,,rcv_invest
asharebalancesheet,,receivables_financing
asharebalancesheet,,red_monetary_cap_for_sale
asharebalancesheet,,report_period
asharebalancesheet,,right_use_assets
asharebalancesheet,,rsrv_insur_cont
asharebalancesheet,,settle_rsrv
asharebalancesheet,,spe_bal_assets_diff
asharebalancesheet,,spe_bal_liab_diff
asharebalancesheet,,spe_bal_liab_eqy_diff
asharebalancesheet,,spe_bal_shrhldr_eqy_diff
asharebalancesheet,,spe_cur_assets_diff
asharebalancesheet,,spe_cur_liab_diff
asharebalancesheet,,spe_non_cur_assets_diff
asharebalancesheet,,spe_non_cur_liab_diff
asharebalancesheet,,special_rsrv
asharebalancesheet,,specific_item_payable
asharebalancesheet,,st_bonds_payable
asharebalancesheet,,st_borrow
asharebalancesheet,,st_financing_payable
asharebalancesheet,,statement_type
asharebalancesheet,,stm_bs_tot
asharebalancesheet,,subr_rec
asharebalancesheet,,surplus_rsrv
asharebalancesheet,,taxes_surcharges_payable
asharebalancesheet,,time_deposits
asharebalancesheet,,tot_assets
asharebalancesheet,,tot_bal_assets_diff
asharebalancesheet,,tot_bal_liab_diff
asharebalancesheet,,tot_bal_liab_eqy_diff
asharebalancesheet,,tot_bal_shrhldr_eqy_diff
asharebalancesheet,,tot_cur_assets
asharebalancesheet,,tot_cur_assets_diff
asharebalancesheet,,tot_cur_liab
asharebalancesheet,,tot_cur_liab_diff
asharebalancesheet,,tot_liab
asharebalancesheet,,tot_liab_shrhldr_eqy
asharebalancesheet,,tot_non_cur_assets
asharebalancesheet,,tot_non_cur_assets_diff
asharebalancesheet,,tot_non_cur_liab
asharebalancesheet,,tot_non_cur_liab_diff
asharebalancesheet,,tot_shr
asharebalancesheet,,tot_shrhldr_eqy_excl_min_int
asharebalancesheet,,tot_shrhldr_eqy_incl_min_int
asharebalancesheet,,tradable_fin_assets
asharebalancesheet,,tradable_fin_liab
asharebalancesheet,,unconfirmed_invest_loss
asharebalancesheet,,undistributed_profit
asharebalancesheet,,unearned_prem_rsrv
asharecashflow,,actual_ann_dt
asharecashflow,,amort_intang_assets
asharecashflow,,amort_lt_deferred_exp
asharecashflow,,cash_cash_equ_beg_period
asharecashflow,,cash_cash_equ_end_period
asharecashflow,,cash_paid_invest
asharecashflow,,cash_pay_acq_const_fiolta
asharecashflow,,cash_pay_beh_empl
asharecashflow,,cash_pay_claims_orig_inco
asharecashflow,,cash_pay_dist_dpcp_int_exp
asharecashflow,,cash_pay_goods_purch_serv_rec
asharecashflow,,cash_prepay_amt_borr
asharecashflow,,cash_recp_borrow
asharecashflow,,cash_recp_cap_contrib
asharecashflow,,cash_recp_disp_withdrwl_invest
asharecashflow,,cash_recp_prem_orig_inco
asharecashflow,,cash_recp_return_invest
asharecashflow,,cash_recp_sg_and_rs
asharecashflow,,comm_insur_plcy_paid
asharecashflow,,comp_type_code
asharecashflow,,conv_corp_bonds_due_within_1y
asharecashflow,,conv_debt_into_cap
asharecashflow,,credit_impairment_loss
asharecashflow,,decr_deferred_exp
asharecashflow,,decr_deferred_inc_tax_assets
asharecashflow,,decr_inventories
asharecashflow,,decr_oper_payable
asharecashflow,,depr_fa_coga_dpba
asharecashflow,,eff_fx_flu_cash
asharecashflow,,end_bal_cash
asharecashflow,,fa_fnc_leases
asharecashflow,,fin_exp
asharecashflow,,free_cash_flow
asharecashflow,,handling_chrg_paid
asharecashflow,,im_net_cash_flows_oper_act
asharecashflow,,im_net_incr_cash_cash_equ
asharecashflow,,incl_cash_rec_saims
asharecashflow,,incl_dvd_profit_paid_sc_ms
asharecashflow,,incr_acc_exp
asharecashflow,,incr_deferred_inc_tax_liab
asharecashflow,,incr_oper_payable
asharecashflow,,invest_loss
asharecashflow,,is_calculation
asharecashflow,,less_beg_bal_cash
asharecashflow,,less_beg_bal_cash_equ
asharecashflow,,loss_disp_fiolta
asharecashflow,,loss_fv_chg
asharecashflow,,loss_scr_fa
asharecashflow,,melt_money_net_increase
asharecashflow,,net_cash_flows_fnc_act
asharecashflow,,net_cash_flows_inv_act
asharecashflow,,net_cash_flows_oper_act
asharecashflow,,net_cash_pay_aquis_sobu
asharecashflow,,net_cash_received_reinsu_bus
asharecashflow,,net_cash_recp_disp_fiolta
asharecashflow,,net_cash_recp_disp_sobu
asharecashflow,,net_incr_cash_cash_equ
asharecashflow,,net_incr_clients_loan_adv
asharecashflow,,net_incr_dep_cbob
asharecashflow,,net_incr_dep_cob
asharecashflow,,net_incr_disp_faas
asharecashflow,,net_incr_disp_tfa
asharecashflow,,net_incr_fund_borr_ofi
asharecashflow,,net_incr_insured_dep
asharecashflow,,net_incr_int_handling_chrg
asharecashflow,,net_incr_loans_central_bank
asharecashflow,,net_incr_loans_other_bank
asharecashflow,,net_incr_pledge_loan
asharecashflow,,net_incr_repurch_bus_fund
asharecashflow,,net_profit
asharecashflow,,other_accounts
asharecashflow,,other_cash_pay_ral_fnc_act
asharecashflow,,other_cash_pay_ral_inv_act
asharecashflow,,other_cash_pay_ral_oper_act
